kepulauan asal lahir;jurusan sekolah;profil sekolah;jalur pendaftaran;ipk1;ipk2;ipk3;jumlah matakuliah d/e/f;jumlah sks d/e/f;total sks semester 1-3;status
Kalimantan;SMA;Negeri;Raport;2.90;2.92;2.95;6;18;64;Tidak Sisip
Sulawesi;SMK;Swasta;Tes;3.50;3.52;3.55;11;33;71;Sisip
Papua;Homeschooling;Negeri;Raport;3.00;3.05;3.02;7;21;65;Tidak Sisip
Bali;SMA;Swasta;Tes;3.80;2;3.85;15;45;76;Sisip
Nusa Tenggara;SMK;Negeri;Raport;3.35;3.38;3.40;10;30;70;Tidak Sisip
Maluku;Homeschooling;Swasta;Tes;3.20;1;3.25;9;27;68;Sisip
Jawa;SMA;Negeri;Raport;3.88;3.90;3.92;16;48;77;Tidak Sisip
Sumatra;SMK;Swasta;Tes;3.42;3.45;3.48;11;33;72;Sisip
Kalimantan;Homeschooling;Negeri;Raport;3.68;3.70;3.72;14;42;74;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;2.88;2.92;2.95;5;15;62;Sisip
Papua;SMK;Negeri;Raport;3.52;3.55;3.58;12;36;71;Tidak Sisip
Bali;Homeschooling;Swasta;Tes;3.62;3.65;3.68;13;39;73;Sisip
Nusa Tenggara;SMA;Negeri;Raport;3.22;3.25;3.28;8;24;68;sisip
Maluku;SMK;Swasta;Tes;3.38;3.40;3.42;10;30;70;Sisip
Jawa;Homeschooling;Negeri;Raport;3.82;1;3.88;15;45;75;Tidak Sisip
Sumatra;SMA;Swasta;Tes;2.82;1;2.88;4;12;59;Sisip
Kalimantan;SMK;Negeri;Raport;3.58;3.60;3.62;12;36;72;Tidak Sisip
Sulawesi;Homeschooling;Swasta;Tes;3.08;3.10;3.12;7;21;65;Sisip
Papua;SMA;Negeri;Raport;3.72;3.75;3.78;14;42;73;Tidak Sisip
Bali;SMK;Swasta;Tes;3.18;3.20;3.22;9;27;67;Sisip
Nusa Tenggara;Homeschooling;Negeri;Raport;3.32;3.35;3.38;11;33;71;Tidak Sisip
Maluku;SMA;Swasta;Tes;2.92;2.95;2.98;6;18;64;Sisip
Jawa;SMK;Negeri;Raport;3.78;3.80;3.82;16;48;76;Tidak Sisip
Sumatra;Homeschooling;Swasta;Tes;3.28;3.30;3.32;10;30;69;Sisip
Kalimantan;SMA;Negeri;Raport;3.02;3.05;3.08;8;24;65;Tidak Sisip
Sulawesi;SMK;Swasta;Tes;3.58;3.60;3.62;12;36;71;Sisip
Papua;Homeschooling;Negeri;Raport;2.78;2.80;2.82;5;15;60;Tidak Sisip
Bali;SMA;Swasta;Tes;3.68;3.70;3.72;14;42;74;Sisip
Nusa Tenggara;SMK;Negeri;Raport;3.12;3.15;3.18;8;24;66;Tidak Sisip
Maluku;Homeschooling;Swasta;Tes;3.38;3.40;3.42;11;33;70;Sisip
Jawa;SMA;Negeri;Raport;3.85;3.88;3.90;17;51;77;Tidak Sisip
Sumatra;SMK;Swasta;Tes;3.58;3.60;3.62;13;39;73;Sisip
Kalimantan;Homeschooling;Negeri;Raport;3.48;3.50;3.52;12;36;71;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;3.22;3.25;3.28;9;27;67;Sisip
Papua;SMK;Negeri;Raport;3.00;3.02;3.05;7;21;63;Tidak Sisip
Bali;Homeschooling;Swasta;Tes;3.52;3.55;3.58;12;36;71;Sisip
Nusa Tenggara;SMA;Negeri;Raport;3.42;3.45;3.48;11;33;70;Tidak Sisip
Maluku;SMK;Swasta;Tes;3.08;3.10;3.12;8;24;66;Sisip
Jawa;Homeschooling;Negeri;Raport;3.92;3.95;3.98;18;54;79;Tidak Sisip
Sumatra;SMA;Swasta;Tes;3.32;3.35;3.38;10;30;68;Sisip
Kalimantan;SMK;Negeri;Raport;3.62;3.65;3.68;14;42;73;Tidak Sisip
Sulawesi;Homeschooling;Swasta;Tes;3.18;3.20;3.22;8;24;66;Sisip
Papua;SMA;Negeri;Raport;2.80;2.82;2.85;5;15;61;Tidak Sisip
Bali;SMK;Swasta;Tes;3.48;3.50;3.52;13;39;72;Sisip
Nusa Tenggara;Homeschooling;Negeri;Raport;3.28;3.30;3.32;10;30;69;Tidak Sisip
Maluku;SMA;Swasta;Tes;3.58;3.60;3.62;13;39;72;Sisip
Jawa;SMK;Negeri;Raport;3.72;3.75;3.78;15;45;74;Tidak Sisip
Sumatra;Homeschooling;Swasta;Tes;3.12;3.15;3.18;8;24;66;Sisip
Kalimantan;SMA;Negeri;Raport;2.92;2.95;2.98;6;18;63;Tidak Sisip
Sulawesi;SMK;Swasta;Tes;3.52;3.55;3.58;12;36;70;Sisip
Papua;Homeschooling;Negeri;Raport;3.02;3.05;3.08;7;21;64;Tidak Sisip
Bali;SMA;Swasta;Tes;3.82;3.85;3.88;16;48;76;Sisip
Nusa Tenggara;SMK;Negeri;Raport;3.38;3.40;3.42;11;33;69;Tidak Sisip
Maluku;Homeschooling;Swasta;Tes;3.22;3.25;3.28;9;27;67;Sisip
Jawa;SMA;Negeri;Raport;3.90;3.92;3.95;17;51;78;Tidak Sisip
Sumatra;SMK;Swasta;Tes;3.35;3.38;3.40;10;30;68;Sisip
Kalimantan;Homeschooling;Negeri;Raport;2.98;3.00;3.02;7;21;63;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;3.48;3.50;3.52;11;33;70;Sisip
Papua;SMK;Negeri;Raport;3.15;3.18;3.20;8;24;66;Tidak Sisip
Bali;Homeschooling;Swasta;Tes;3.68;3.70;3.72;14;42;73;Sisip
Nusa Tenggara;SMA;Negeri;Raport;3.25;3.28;3.30;9;27;68;Tidak Sisip
Maluku;SMK;Swasta;Tes;3.45;3.48;3.50;12;36;71;Sisip
Jawa;Homeschooling;Negeri;Raport;3.88;3.90;3.92;16;48;76;Tidak Sisip
Sumatra;SMA;Swasta;Tes;2.88;2.90;2.92;5;15;60;Sisip
Kalimantan;SMK;Negeri;Raport;3.55;3.58;3.60;13;39;72;Tidak Sisip
Sulawesi;Homeschooling;Swasta;Tes;3.05;3.08;3.10;7;21;64;Sisip
Papua;SMA;Negeri;Raport;3.70;3.72;3.75;14;42;73;Tidak Sisip
Bali;SMK;Swasta;Tes;3.20;3.22;3.25;9;27;67;Sisip
Nusa Tenggara;Homeschooling;Negeri;Raport;3.30;3.32;3.35;10;30;69;Tidak Sisip
Maluku;SMA;Swasta;Tes;2.95;2.98;3.00;6;18;62;Sisip
Jawa;SMK;Negeri;Raport;3.75;3.78;3.80;15;45;75;Tidak Sisip
Sumatra;Homeschooling;Swasta;Tes;3.25;3.28;3.30;9;27;67;Sisip
Kalimantan;SMA;Negeri;Raport;3.00;3.02;3.05;7;21;64;Tidak Sisip
Sulawesi;SMK;Swasta;Tes;3.60;3.62;3.65;13;39;71;Sisip
Papua;Homeschooling;Negeri;Raport;2.85;2.88;2.90;5;15;60;Tidak Sisip
Bali;SMA;Swasta;Tes;3.65;3.68;3.70;14;42;73;Sisip
Nusa Tenggara;SMK;Negeri;Raport;3.10;3.12;3.15;8;24;65;Tidak Sisip
Maluku;Homeschooling;Swasta;Tes;3.35;3.38;3.40;11;33;70;Sisip
Jawa;SMA;Negeri;Raport;3.82;3.85;3.88;16;48;75;Tidak Sisip
Sumatra;SMK;Swasta;Tes;3.52;3.55;3.58;12;36;71;Sisip
Kalimantan;Homeschooling;Negeri;Raport;3.42;3.45;3.48;11;33;70;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;3.15;3.18;3.20;8;24;66;Sisip
Papua;SMK;Negeri;Raport;2.92;2.95;2.98;6;18;62;Tidak Sisip
Bali;Homeschooling;Swasta;Tes;3.55;3.58;3.60;13;39;72;Sisip
Nusa Tenggara;SMA;Negeri;Raport;3.38;3.40;3.42;10;30;69;Tidak Sisip
Maluku;SMK;Swasta;Tes;3.02;3.05;3.08;7;21;64;Sisip
Jawa;Homeschooling;Negeri;Raport;3.95;3.98;4.00;18;54;79;Tidak Sisip
Sumatra;SMA;Swasta;Tes;3.28;3.30;3.32;9;27;67;Sisip
Kalimantan;SMK;Negeri;Raport;3.65;3.68;3.70;14;42;73;Tidak Sisip
Sulawesi;Homeschooling;Swasta;Tes;3.20;3.22;3.25;8;24;65;Sisip
Papua;SMA;Negeri;Raport;2.78;1;2.82;4;12;59;Tidak Sisip
Bali;SMK;Swasta;Tes;3.48;3.50;3.52;12;36;71;Sisip
Nusa Tenggara;Homeschooling;Negeri;Raport;3.25;1;3.30;9;27;68;Tidak Sisip
Maluku;SMA;Swasta;Tes;3.58;3.60;3.62;13;39;72;Tidak Sisip
Jawa;SMK;Negeri;Raport;3.72;3.75;3.78;15;45;74;Tidak Sisip
Sumatra;Homeschooling;Swasta;Tes;3.12;3.15;3.18;8;24;66;Tidak Sisip
Kalimantan;SMA;Negeri;Raport;2.95;2.98;3.00;6;18;63;Tidak Sisip
Sulawesi;SMK;Swasta;Tes;3.52;3.55;3.58;12;36;70;Sisip
Papua;Homeschooling;Negeri;Raport;3.05;3.08;3.10;7;21;64;Tidak Sisip
Bali;SMA;Swasta;Tes;3.82;3.85;3.88;16;48;76;Sisip
Nusa Tenggara;SMK;Negeri;Raport;3.35;3.38;3.40;10;30;69;Tidak Sisip
Maluku;Homeschooling;Swasta;Tes;3.22;3.25;3.28;9;27;67;Sisip
Jawa;SMA;Negeri;Raport;3.88;3.90;3.92;17;51;77;Tidak Sisip
Sumatra;SMK;Swasta;Tes;1;3.40;1;11;33;69;Sisip
Kalimantan;Homeschooling;Negeri;Raport;1;2.92;2.95;6;18;62;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;3.45;3.48;3.50;11;33;70;Sisip
Papua;SMK;Negeri;Raport;3.10;3.12;1;8;24;65;Tidak Sisip
Bali;Homeschooling;Swasta;Tes;3.70;3.72;3.75;14;42;73;Sisip
Nusa Tenggara;SMA;Negeri;Raport;1;3.30;3.32;10;30;69;Tidak Sisip
Maluku;SMK;Swasta;Tes;3.48;1;3.52;12;36;71;Sisip
Jawa;Homeschooling;Negeri;Raport;3.85;3.88;3.90;16;48;75;Tidak Sisip
Sumatra;SMA;Swasta;Tes;1;2.88;2.90;5;15;60;Sisip
Kalimantan;SMK;Negeri;Raport;3.58;3.60;3.62;13;39;72;Tidak Sisip
Sulawesi;Homeschooling;Swasta;Tes;3.08;3.10;3.12;7;21;64;Sisip
Papua;SMA;Negeri;Raport;3.72;3.75;3.78;14;42;73;Tidak Sisip
Bali;SMK;Swasta;Tes;3.18;1;3.22;9;27;67;Sisip
Nusa Tenggara;Homeschooling;Negeri;Raport;3.32;3.35;3.38;10;30;70;Tidak Sisip
Maluku;SMA;Swasta;Tes;2.98;1;3.02;6;18;63;Sisip
Jawa;SMK;Negeri;Raport;1;3.80;3.82;15;45;75;Tidak Sisip
Sumatra;Homeschooling;Swasta;Tes;3.28;3.30;3.32;9;27;67;Sisip
Kalimantan;SMA;Negeri;Raport;3.02;3.05;3.08;7;21;64;Tidak Sisip
Sulawesi;SMK;Swasta;Tes;3.62;3.65;3.68;13;39;71;Sisip
Papua;Homeschooling;Negeri;Raport;2.82;2.85;2.88;5;15;60;Tidak Sisip
Bali;SMA;Swasta;Tes;3.68;3.70;3.72;14;42;73;Sisip
Nusa Tenggara;SMK;Negeri;Raport;3.12;3.15;3.18;8;24;66;Tidak Sisip
Maluku;Homeschooling;Swasta;Tes;3.38;3.40;3.42;11;33;70;Sisip
Jawa;SMA;Negeri;Raport;3.85;1;1;16;48;76;Tidak Sisip
Sumatra;SMK;Swasta;Tes;3.55;1;3.60;12;36;72;Sisip
Kalimantan;Homeschooling;Negeri;Raport;3.45;1;3.50;11;33;71;Tidak Sisip
Sulawesi;SMA;Swasta;Tes;3.20;1;3.25;8;24;67;Sisip
Papua;SMK;Negeri;Raport;2.95;2.98;3.00;6;18;62;Tidak Sisip
Bali;Homeschooling;Swasta;Tes;3.52;3.55;3.58;12;36;71;Tidak Sisip
Nusa Tenggara;SMA;Negeri;Raport;3.35;3.38;3.40;10;30;69;Tidak Sisip
Maluku;SMK;Swasta;Tes;3.05;3.08;1;7;21;64;Sisip
Jawa;Homeschooling;Negeri;Raport;3.90;3.92;1;17;51;78;Tidak Sisip
